# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
3113868 0.01634,0.91316,0.14673
3118423 0.01051,0.92563,0.14813
3123229 0.00158,0.94091,0.14411
3127786 0.00403,0.93205,0.14565
3132593 0.00948,0.92829,0.14959
3137142 0.01116,0.92100,0.15801
3141941 0.01377,0.91354,0.16273
3146493 0.01489,0.91947,0.16095
3151043 0.01423,0.91907,0.15653
3155843 0.01221,0.92316,0.15995
3160395 0.01532,0.91504,0.16173
3165196 0.02264,0.89980,0.16379
3169747 0.02900,0.88521,0.17003
3175028 0.03901,0.87677,0.17496
3179580 0.04198,0.88732,0.18592
3184129 0.04518,0.88777,0.18762
3188932 0.04826,0.89640,0.18555
3193482 0.04642,0.90180,0.18478
3198283 0.04257,0.90022,0.18998
3202833 0.04116,0.91145,0.19186
3207633 0.03930,0.90683,0.18994
3212181 0.04004,0.90553,0.19339
3216735 0.04259,0.89963,0.19442
3221535 0.04004,0.90013,0.19393
3226083 0.03148,0.89077,0.19555
3230875 0.02303,0.90003,0.19798
3235425 0.01659,0.91082,0.19743
3240225 -0.00154,0.92093,0.19401
3245254 -0.01276,0.93595,0.19050
3250054 -0.02569,0.94280,0.19052
3254610 -0.02840,0.95744,0.19336
3259165 -0.03615,0.96680,0.19136
3263968 -0.03537,0.97511,0.19226
3268522 -0.02813,0.97272,0.18978
3273324 -0.02781,0.97550,0.19713
3277878 -0.01826,0.97260,0.19562
3282680 -0.01160,0.97248,0.20099
3287239 0.00139,0.98017,0.20822
3291798 0.01093,0.98793,0.21252
3296598 0.01921,0.98769,0.21247
3301155 0.02331,0.99378,0.21436
3305957 0.02851,1.00617,0.21913
3310510 0.03036,1.01675,0.21755
3315314 0.02695,1.03163,0.22039
3320351 0.02221,1.04026,0.21788
3324905 0.01592,1.04255,0.21396
3329714 0.01043,1.04185,0.21253
3334270 0.00308,1.04182,0.21356
3339081 0.00644,1.03869,0.21111
3343642 0.00646,1.04333,0.21156
3348448 0.00377,1.04236,0.20027
3353005 -0.00381,1.05310,0.19087
3357565 -0.00506,1.05020,0.18893
3362376 -0.00552,1.06618,0.18682
3366930 -0.00852,1.08271,0.18177
3371736 -0.01368,1.09618,0.17086
3376292 -0.01051,1.10259,0.16931
3381096 -0.01231,1.10158,0.17031
3385654 -0.00936,1.09701,0.17771
3390689 -0.01717,1.08613,0.18204
3395492 -0.01518,1.07691,0.18876
3400048 0.00899,1.04945,0.18984
3404852 0.01931,1.04441,0.19670
3409408 0.03305,1.02440,0.19286
3414212 0.04252,1.01874,0.17219
3418764 0.03796,1.01861,0.15598
3423317 0.03813,1.03075,0.14996
3428118 0.02865,1.04810,0.15183
3432671 0.02309,1.06497,0.15369
3437469 0.01642,1.08633,0.15157
3442025 0.00816,1.09661,0.15202
3446825 0.00487,1.08778,0.15212
3451376 -0.00060,1.07583,0.16063
3455928 0.00120,1.06597,0.16292
3461210 0.00319,1.07331,0.15275
3465766 -0.00396,1.08517,0.13695
3470570 -0.01214,1.09433,0.12142
3475127 -0.02239,1.10317,0.10935
3479928 -0.03187,1.10488,0.09832
3484484 -0.03568,1.11373,0.08596
3489285 -0.04260,1.10955,0.07497
3493843 -0.04288,1.10587,0.06418
3498399 -0.04935,1.10166,0.05491
3503209 -0.05547,1.09469,0.04862
3507764 -0.06427,1.08573,0.04359
3512576 -0.07441,1.08654,0.03946
3517135 -0.08086,1.07124,0.03324
3521952 -0.08480,1.06151,0.02991
