# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
232813064 0.82031,0.25506,-0.04829
232817891 0.92823,0.15085,-0.04287
232822468 0.95165,0.15091,-0.03392
232827046 0.94975,0.17406,-0.04986
232831874 0.93486,0.19443,-0.05167
232836451 0.94331,0.16889,-0.04928
232841277 0.95533,0.16133,-0.02813
232845855 0.95942,0.15124,-0.01502
232850684 0.94766,0.16272,-0.01358
232855263 0.94343,0.15946,-0.01032
232860572 0.94670,0.14679,0.00822
232865149 0.95634,0.14130,0.02396
232869725 0.95698,0.15308,0.02336
232874554 0.94212,0.16695,0.02751
232879134 0.93338,0.16716,0.02904
232883964 0.92522,0.15354,0.03512
232888542 0.92200,0.14822,0.04257
232893370 0.92051,0.15058,0.04698
232897949 0.92738,0.15641,0.04935
232902525 0.92747,0.16460,0.05567
232907348 0.93366,0.16480,0.05809
232911926 0.92526,0.15726,0.05526
232916752 0.91659,0.16124,0.05232
232921329 0.92108,0.15317,0.05138
232926151 0.92651,0.14465,0.04897
232931210 0.92415,0.13546,0.04365
232935786 0.91802,0.12878,0.03489
232940614 0.91609,0.13090,0.03882
232945191 0.92436,0.13646,0.03134
232950015 0.94078,0.13944,0.03022
232954592 0.94658,0.14362,0.02966
232959418 0.95125,0.14699,0.03255
232963990 0.94465,0.15597,0.03645
232968559 0.94274,0.15727,0.04432
232973381 0.94005,0.16080,0.05070
232977956 0.94667,0.17221,0.05597
232982777 0.94634,0.16912,0.06264
232987353 0.95048,0.17467,0.05543
232992178 0.94879,0.18179,0.05489
232996758 0.94163,0.17737,0.05497
233002064 0.93362,0.17142,0.04671
233006645 0.94216,0.17628,0.03776
233011226 0.94765,0.15590,0.02856
233016054 0.94247,0.14833,0.02718
233020629 0.94139,0.15206,0.02494
233025458 0.94404,0.15498,0.01481
233030040 0.94439,0.15241,0.00893
233034870 0.94107,0.16588,-0.00151
233039443 0.91861,0.17498,-0.00391
233044019 0.85791,0.17049,-0.00201
233048848 0.73772,0.12606,0.04172
233053425 0.74704,0.19331,0.01571
233058257 0.72727,0.18284,0.01200
233062841 0.82214,0.22171,-0.00298
233068150 0.93839,0.21348,-0.04867
233072730 0.99752,0.19600,-0.04322
233077559 1.02934,0.16615,-0.02225
233082140 1.02305,0.15163,-0.00879
233086721 0.98788,0.18937,-0.02071
233091545 0.91624,0.18321,-0.03226
233096122 0.85280,0.20491,-0.04017
233100944 0.88109,0.20942,-0.03277
233105518 0.93703,0.19028,-0.00810
233110345 0.99388,0.18764,0.01321
