# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/27/20 20:05:29.177141 -0.01782,1.02148,0.06396
03/27/20 20:05:29.182505 -0.04346,0.99902,0.08350
03/27/20 20:05:29.191835 -0.05444,0.97339,0.08398
03/27/20 20:05:29.200911 -0.03125,0.93872,0.08081
03/27/20 20:05:29.210228 -0.00293,0.88940,0.07080
03/27/20 20:05:29.219561 0.04224,0.83936,0.05029
03/27/20 20:05:29.228909 0.04688,0.77905,0.06787
03/27/20 20:05:29.238239 0.04590,0.76563,0.07324
03/27/20 20:05:29.247574 0.04736,0.75879,0.05225
03/27/20 20:05:29.256906 0.05029,0.75317,0.05225
03/27/20 20:05:29.265989 0.04834,0.73022,0.05225
03/27/20 20:05:29.271345 0.04541,0.71118,0.05371
03/27/20 20:05:29.280666 0.05298,0.68799,0.06128
03/27/20 20:05:29.289991 0.04956,0.69727,0.05835
03/27/20 20:05:29.299309 0.02222,0.68994,0.06689
03/27/20 20:05:29.308384 -0.00464,0.68555,0.06543
03/27/20 20:05:29.317715 -0.01245,0.68018,0.08447
03/27/20 20:05:29.327042 -0.02417,0.65381,0.10132
03/27/20 20:05:29.336378 -0.01953,0.66309,0.10498
03/27/20 20:05:29.345713 -0.02100,0.65063,0.11719
03/27/20 20:05:29.355049 -0.02246,0.62549,0.13599
03/27/20 20:05:29.364864 -0.02686,0.61328,0.14111
03/27/20 20:05:29.373943 -0.04004,0.62793,0.15820
03/27/20 20:05:29.383268 -0.02563,0.65771,0.16284
03/27/20 20:05:29.392590 -0.01904,0.65942,0.17969
03/27/20 20:05:29.401905 -0.01147,0.68213,0.20117
03/27/20 20:05:29.411219 0.00928,0.70996,0.19800
03/27/20 20:05:29.420540 0.05176,0.72949,0.18408
03/27/20 20:05:29.429855 0.08740,0.76807,0.19287
03/27/20 20:05:29.438931 0.10718,0.79272,0.20557
03/27/20 20:05:29.448248 0.10010,0.83618,0.21655
03/27/20 20:05:29.453596 0.08447,0.86816,0.21729
03/27/20 20:05:29.462910 0.05005,0.95654,0.22363
03/27/20 20:05:29.471991 0.01489,1.03027,0.22046
03/27/20 20:05:29.481325 -0.00977,1.11890,0.21191
03/27/20 20:05:29.490665 -0.03394,1.17090,0.20239
03/27/20 20:05:29.500004 -0.03296,1.20459,0.17993
03/27/20 20:05:29.509327 0.01245,1.24829,0.15796
03/27/20 20:05:29.518650 0.04736,1.28882,0.14795
03/27/20 20:05:29.527971 0.06445,1.29785,0.14648
