# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/26/20 14:24:21.764988 1.48853,1.16016,0.18237
03/26/20 14:24:21.774330 1.53296,1.19604,0.26709
03/26/20 14:24:21.783686 1.47412,1.21606,0.32227
03/26/20 14:24:21.793022 1.25708,1.23755,0.18896
03/26/20 14:24:21.802370 1.07617,1.19043,0.07788
03/26/20 14:24:21.811728 0.97119,1.09180,0.05933
03/26/20 14:24:21.821079 0.91089,0.93628,0.08350
03/26/20 14:24:21.830179 0.83252,0.81274,0.11304
03/26/20 14:24:21.839535 0.78027,0.71436,0.12793
03/26/20 14:24:21.848881 0.76343,0.77686,0.07690
03/26/20 14:24:21.854242 0.75000,0.84912,0.06299
03/26/20 14:24:21.863583 0.76709,0.92334,-0.03809
03/26/20 14:24:21.872671 0.71851,0.96851,-0.07373
03/26/20 14:24:21.882021 0.63330,0.99487,-0.09521
03/26/20 14:24:21.891375 0.58154,0.95752,-0.09595
03/26/20 14:24:21.900734 0.53882,0.89160,-0.08472
03/26/20 14:24:21.910078 0.51270,0.77661,-0.04932
03/26/20 14:24:21.919409 0.47632,0.66968,-0.02686
03/26/20 14:24:21.928736 0.45361,0.62646,-0.03174
03/26/20 14:24:21.937817 0.37573,0.63892,-0.08569
03/26/20 14:24:21.943176 0.28662,0.65869,-0.13281
03/26/20 14:24:21.952509 0.16577,0.67114,-0.17090
03/26/20 14:24:21.961832 0.11597,0.70679,-0.15820
03/26/20 14:24:21.970915 0.11743,0.79785,-0.12646
03/26/20 14:24:21.980236 0.13574,0.92603,-0.10596
03/26/20 14:24:21.989559 0.15332,1.02026,-0.09277
03/26/20 14:24:21.998892 0.06421,1.08960,-0.04370
03/26/20 14:24:22.008230 0.03687,1.06055,0.00806
03/26/20 14:24:22.017574 0.04639,1.01587,0.05176
03/26/20 14:24:22.026909 0.03198,0.96069,0.06543
03/26/20 14:24:22.036491 -0.02100,0.90820,0.12476
03/26/20 14:24:22.045835 -0.02881,0.85913,0.14087
03/26/20 14:24:22.055183 -0.01685,0.79688,0.13452
03/26/20 14:24:22.064537 0.00684,0.77051,0.10840
03/26/20 14:24:22.073875 0.02930,0.79297,0.11523
03/26/20 14:24:22.083195 0.03394,0.83496,0.10791
03/26/20 14:24:22.092527 -0.00464,0.87012,0.10449
03/26/20 14:24:22.101612 -0.06689,0.89551,0.12695
03/26/20 14:24:22.110954 -0.07178,0.91797,0.16162
03/26/20 14:24:22.120296 -0.09424,0.90430,0.18896
03/26/20 14:24:22.125652 -0.10205,0.89990,0.19751
03/26/20 14:24:22.134993 -0.07324,0.90430,0.23560
03/26/20 14:24:22.144079 -0.06006,0.92578,0.26563
03/26/20 14:24:22.153412 -0.05420,0.92993,0.27881
03/26/20 14:24:22.162748 -0.03833,0.88525,0.30762
03/26/20 14:24:22.172091 -0.01807,0.79810,0.33472
03/26/20 14:24:22.181433 0.03491,0.81445,0.31812
03/26/20 14:24:22.190781 0.03564,0.88477,0.23389
03/26/20 14:24:22.200132 0.02686,0.93604,0.22852
03/26/20 14:24:22.209217 0.02954,0.97632,0.25049
03/26/20 14:24:22.214575 0.02905,0.98096,0.26318
03/26/20 14:24:22.223904 0.02881,0.93115,0.30151
03/26/20 14:24:22.233242 0.03369,0.86987,0.34961
03/26/20 14:24:22.242323 0.03735,0.78711,0.39893
03/26/20 14:24:22.251644 0.04028,0.77612,0.40234
03/26/20 14:24:22.260975 0.04053,0.77051,0.40332
03/26/20 14:24:22.270306 0.05444,0.75781,0.41309
03/26/20 14:24:22.279636 0.05566,0.75513,0.43677
03/26/20 14:24:22.288965 0.05176,0.76953,0.46826
03/26/20 14:24:22.298300 0.07935,0.85864,0.46875
03/26/20 14:24:22.307877 0.05273,0.93896,0.43604
03/26/20 14:24:22.317225 0.03491,0.92334,0.44580
03/26/20 14:24:22.326578 0.05127,0.90894,0.49805
03/26/20 14:24:22.335930 0.04443,0.93164,0.56543
03/26/20 14:24:22.345272 0.04224,0.95483,0.61499
03/26/20 14:24:22.354616 0.04590,0.95068,0.66699
03/26/20 14:24:22.363956 0.05420,0.94678,0.72412
03/26/20 14:24:22.373053 0.05347,0.91528,0.77808
03/26/20 14:24:22.382397 0.05566,0.82959,0.82227
03/26/20 14:24:22.391729 0.10181,0.89233,0.80103
03/26/20 14:24:22.401064 0.12280,1.03125,0.71265
03/26/20 14:24:22.406425 0.09326,1.08130,0.65820
03/26/20 14:24:22.415520 0.07031,1.17700,0.53516
03/26/20 14:24:22.424860 0.04175,1.24561,0.43091
03/26/20 14:24:22.434202 -0.02173,1.22778,0.39380
03/26/20 14:24:22.443548 -0.04346,1.18115,0.36670
03/26/20 14:24:22.452900 -0.08691,1.13501,0.37695
03/26/20 14:24:22.462250 -0.11230,1.03784,0.43457
03/26/20 14:24:22.471598 -0.08032,0.93506,0.46875
03/26/20 14:24:22.480688 -0.04321,0.87256,0.47339
03/26/20 14:24:22.490017 -0.01123,0.83960,0.42993
03/26/20 14:24:22.495373 -0.00098,0.83301,0.39966
03/26/20 14:24:22.504694 0.01050,0.82373,0.34595
03/26/20 14:24:22.513762 0.02319,0.82471,0.31738
03/26/20 14:24:22.523090 0.03320,0.81055,0.28760
03/26/20 14:24:22.532415 0.01855,0.76929,0.27905
03/26/20 14:24:22.541740 0.05737,0.77588,0.27100
03/26/20 14:24:22.551058 0.10327,0.83276,0.24121
03/26/20 14:24:22.560377 0.06226,0.83887,0.25415
03/26/20 14:24:22.569696 0.04736,0.81177,0.27832
03/26/20 14:24:22.578766 0.05542,0.77954,0.31616
03/26/20 14:24:22.584114 0.05859,0.75806,0.33203
03/26/20 14:24:22.593439 0.04907,0.69189,0.36621
03/26/20 14:24:22.602760 0.04175,0.64941,0.38525
03/26/20 14:24:22.611830 0.04956,0.57617,0.40234
03/26/20 14:24:22.621138 0.05200,0.53711,0.42627
03/26/20 14:24:22.630447 0.05859,0.51611,0.44141
03/26/20 14:24:22.639765 0.05518,0.49780,0.45923
03/26/20 14:24:22.649082 0.05176,0.48291,0.45996
03/26/20 14:24:22.658398 0.05298,0.51709,0.47559
03/26/20 14:24:22.667709 0.04688,0.59839,0.49609
03/26/20 14:24:22.677248 0.03369,0.66650,0.49829
03/26/20 14:24:22.686566 -0.00903,0.68066,0.49072
03/26/20 14:24:22.695873 -0.04395,0.68262,0.48535
03/26/20 14:24:22.705181 -0.07593,0.67993,0.50391
03/26/20 14:24:22.714499 -0.10376,0.67773,0.53613
03/26/20 14:24:22.723812 -0.12061,0.65137,0.57324
03/26/20 14:24:22.733130 -0.11938,0.62012,0.61841
03/26/20 14:24:22.742191 -0.10645,0.65527,0.64502
03/26/20 14:24:22.751507 -0.11499,0.72046,0.66064
03/26/20 14:24:22.760828 -0.12500,0.81030,0.65161
03/26/20 14:24:22.766178 -0.11914,0.84839,0.64014
03/26/20 14:24:22.775492 -0.11279,0.90186,0.65430
03/26/20 14:24:22.784557 -0.09155,0.90625,0.68359
03/26/20 14:24:22.793871 -0.09448,0.89575,0.70068
03/26/20 14:24:22.803196 -0.13477,0.89282,0.70313
03/26/20 14:24:22.812512 -0.14502,0.91040,0.68750
03/26/20 14:24:22.821833 -0.10571,0.92773,0.67456
03/26/20 14:24:22.831152 -0.09766,0.94775,0.66797
03/26/20 14:24:22.840220 -0.09937,0.94336,0.67334
03/26/20 14:24:22.849527 -0.08130,0.90454,0.68701
03/26/20 14:24:22.854879 -0.05884,0.89282,0.70044
03/26/20 14:24:22.864199 -0.02319,0.90039,0.71680
03/26/20 14:24:22.873516 0.01074,0.93018,0.70508
03/26/20 14:24:22.882580 -0.01538,0.93848,0.70020
03/26/20 14:24:22.891893 -0.07788,0.90625,0.66357
03/26/20 14:24:22.901201 -0.11621,0.80005,0.62988
03/26/20 14:24:22.910505 -0.24976,0.71411,0.61304
03/26/20 14:24:22.919821 -0.31421,0.73755,0.56934
03/26/20 14:24:22.929131 -0.24414,0.79907,0.53003
03/26/20 14:24:22.938442 -0.18188,0.86572,0.49756
03/26/20 14:24:22.947991 -0.13110,0.93506,0.46875
03/26/20 14:24:22.957312 -0.06055,0.96387,0.42285
